Date,Open,High,Low,Close,Adj Close,Volume
2019-05-24,214500,218000,213000,215500,213818.75,232780
2019-05-27,214500,219000,213500,216000,214314.8438,119234
2019-05-28,208000,213500,205500,208500,206873.3594,628907
2019-05-29,206500,208000,201500,203500,201912.3594,367761
2019-05-30,208000,215000,207500,213500,211834.3438,452930
2019-05-31,214500,219000,212500,218500,216795.3438,273273
2019-06-03,217000,225000,216500,225000,223244.625,276974
2019-06-04,225000,229500,222000,228500,226717.3125,329844
2019-06-05,230000,232500,223500,225000,223244.625,212532
2019-06-07,229000,231000,226000,230000,228205.625,375832
2019-06-10,232500,235000,231000,235000,233166.6094,242648
2019-06-11,237500,239000,228000,237000,235151,469713
2019-06-12,236000,236500,231500,234000,232174.4063,197685
2019-06-13,233000,238500,233000,238500,236639.2969,306218
2019-06-14,237000,239500,234000,236500,234654.9063,187333
2019-06-17,236000,237500,234500,236000,234158.7969,136958
2019-06-18,234000,236000,232500,233500,231678.2969,183144
2019-06-19,236000,238500,231500,234500,232670.5156,241991
2019-06-20,235000,237500,234500,237500,235647.1094,141762
2019-06-21,235500,237000,232000,233000,231182.2031,209404
2019-06-24,232000,233000,228000,229500,227709.5313,212733
2019-06-25,233000,235000,229000,229000,227213.4375,204461
2019-06-26,229000,231500,228000,229000,227213.4375,121072
2019-06-27,230000,238000,229000,237500,235647.1094,296054
2019-06-28,236500,238500,235500,236500,234654.9063,176268
2019-07-01,239500,239500,235000,238000,236143.2031,156413
2019-07-02,237500,239500,233500,234500,232670.5156,157208
2019-07-03,236000,237000,231500,233000,231182.2031,129783
2019-07-04,231500,239000,231500,239000,237135.4063,226735
2019-07-05,239500,239500,235000,238500,236639.2969,121484
2019-07-08,236500,237000,229000,234000,232174.4063,245289
2019-07-09,233000,234500,227500,227500,225725.1094,172507
2019-07-10,229000,233000,226500,231500,229693.9063,136012
2019-07-11,231000,233000,229000,231000,229197.8125,184464
2019-07-12,231500,238000,230000,238000,236143.2031,190245
2019-07-15,237500,239500,236500,239000,237135.4063,176535
2019-07-16,239500,243000,239000,241000,239119.7969,192655
2019-07-17,240500,241500,238000,241000,239119.7969,137967
2019-07-18,241000,244000,239000,242000,240111.9844,155288
2019-07-19,244000,244000,241500,242000,240111.9844,127094
2019-07-22,241500,242500,239000,241500,239615.8906,89187
2019-07-23,242500,244000,240500,242500,240608.0781,140224
2019-07-24,239500,244000,239000,239000,237135.4063,185464
2019-07-25,236500,239000,231000,233000,231182.2031,288443
2019-07-26,233000,235500,229500,232000,230190.0156,173177
2019-07-29,231500,232500,225500,229000,227213.4375,180334
2019-07-30,229500,239000,227500,237000,235151,236208
2019-07-31,246000,249500,241500,249000,247057.3906,617734
2019-08-01,247500,250000,245000,248500,246561.2813,252270
2019-08-02,244500,252000,244500,251500,249537.8906,339371
2019-08-05,250000,250500,240000,243000,241104.1875,275266
2019-08-06,235000,241000,232000,236000,234158.7969,357851
2019-08-07,239500,241000,235000,235500,233662.7031,167534
2019-08-08,239000,243500,235000,236000,234158.7969,339418
2019-08-09,239000,247500,238000,247500,245569.0781,277745
2019-08-12,246500,251000,244500,249500,247553.4844,146743
2019-08-13,246500,248500,244000,245500,243584.6875,139619
2019-08-14,248000,256000,247500,255500,253506.6719,349485
2019-08-16,250000,253500,249000,252500,250530.0781,244780
2019-08-19,253000,254000,249500,253000,251026.1719,108780
2019-08-20,252500,254500,250500,254000,252018.3906,131021
2019-08-21,253500,253500,248500,249500,247553.4844,175888
2019-08-22,248500,249000,240500,241500,239615.8906,321576
2019-08-23,237500,247500,237500,246500,244576.8906,225203
2019-08-26,243000,245500,239000,242500,240608.0781,189786
2019-08-27,245000,246500,241500,244500,242592.5,212544
2019-08-28,247500,250000,244500,248500,246561.2813,164392
2019-08-29,249500,249500,245500,247500,245569.0781,138385
2019-08-30,248500,251000,246500,249500,247553.4844,167999
2019-09-02,232500,246000,231500,246000,244080.7969,355071
2019-09-03,245000,248000,243500,246500,244576.8906,170167
2019-09-04,245500,247000,241000,246000,244080.7969,237415
2019-09-05,244500,247500,243500,244000,242096.4063,214846
2019-09-06,248500,248500,243000,244000,242096.4063,172298
2019-09-09,245000,246000,239000,241000,239119.7969,255098
2019-09-10,239500,239500,232000,232500,230686.1094,566851
2019-09-11,233500,234000,226500,233500,231678.2969,444553
2019-09-16,233500,234000,229500,233500,231678.2969,247523
2019-09-17,235500,237500,234000,234500,232670.5156,241474
2019-09-18,234500,236000,233000,234500,232670.5156,151859
2019-09-19,234000,238000,233500,236500,234654.9063,176258
2019-09-20,236500,237000,234000,237000,235151,185216
2019-09-23,237000,239500,236500,237000,235151,127962
2019-09-24,237500,238500,236500,238500,236639.2969,108509
2019-09-25,234000,234500,222500,223000,221260.2188,641510
2019-09-26,226000,228000,223500,224500,222748.5313,278160
2019-09-27,225500,226000,221500,222500,220764.125,139656
2019-09-30,220000,223500,216500,223000,221260.2188,253050
2019-10-01,221000,229000,221000,225500,223740.7188,167680
2019-10-02,223500,226500,220500,220500,218779.7188,187488
2019-10-04,219000,222000,218000,218500,216795.3438,164839
2019-10-07,220500,223000,218000,219500,217787.5313,122570
2019-10-08,221500,227000,221000,226500,224732.9219,230113
2019-10-10,223500,232500,223000,232500,230686.1094,430266
2019-10-11,233500,233500,225000,227000,225229.0156,350098
2019-10-14,230000,231000,225500,226500,224732.9219,210654
2019-10-15,221500,222000,218500,220000,218283.625,513463
2019-10-16,221000,222000,218500,218500,216795.3438,301820
2019-10-17,219500,221500,219500,220000,218283.625,179238
2019-10-18,220500,225500,220500,224000,222252.4375,290990
2019-10-21,225500,225500,221500,224500,222748.5313,111132
2019-10-22,225000,225000,222500,224500,222748.5313,160891
2019-10-23,223000,225000,222500,224500,222748.5313,127242
2019-10-24,226500,227500,224000,226000,224236.8125,137278
2019-10-25,227000,227000,225500,226000,224236.8125,116348
2019-10-28,227000,230000,226000,229500,227709.5313,186414
2019-10-29,230500,230500,224500,228000,226221.2031,216381
2019-10-30,231000,232000,230000,230000,228205.625,290351
2019-10-31,232000,232000,227000,227500,225725.1094,206353
2019-11-01,229500,231500,227500,231000,229197.8125,122829
